Training: 2021-04-08 19:28:16,255-rank_id: 0
Training: 2021-04-08 19:28:23,237-softmax weight init successfully!
Training: 2021-04-08 19:28:23,238-softmax weight mom init successfully!
Training: 2021-04-08 19:28:23,240-Total Step is: 295681
Training: 2021-04-08 19:28:59,227-Reducer buckets have been rebuilt in this iteration.
Training: 2021-04-08 19:29:27,434-Speed 1805.76 samples/sec   Loss 46.5082   Epoch: 0   Global Step: 100   Required: 25 hours
Training: 2021-04-08 19:29:41,233-Speed 1855.23 samples/sec   Loss 46.7493   Epoch: 0   Global Step: 150   Required: 24 hours
Training: 2021-04-08 19:29:54,989-Speed 1861.18 samples/sec   Loss 46.8783   Epoch: 0   Global Step: 200   Required: 24 hours
Training: 2021-04-08 19:30:08,710-Speed 1865.72 samples/sec   Loss 46.7098   Epoch: 0   Global Step: 250   Required: 23 hours
Training: 2021-04-08 19:30:22,700-Speed 1829.98 samples/sec   Loss 46.5936   Epoch: 0   Global Step: 300   Required: 23 hours
Training: 2021-04-08 19:30:36,605-Speed 1841.17 samples/sec   Loss 46.3470   Epoch: 0   Global Step: 350   Required: 23 hours
Training: 2021-04-08 19:30:50,533-Speed 1837.98 samples/sec   Loss 46.0780   Epoch: 0   Global Step: 400   Required: 23 hours
Training: 2021-04-08 19:31:04,454-Speed 1839.07 samples/sec   Loss 45.9042   Epoch: 0   Global Step: 450   Required: 23 hours
Training: 2021-04-08 19:31:18,437-Speed 1830.86 samples/sec   Loss 45.6898   Epoch: 0   Global Step: 500   Required: 23 hours
Training: 2021-04-08 19:31:32,167-Speed 1864.58 samples/sec   Loss 45.4275   Epoch: 0   Global Step: 550   Required: 23 hours
Training: 2021-04-08 19:31:45,926-Speed 1860.74 samples/sec   Loss 45.1715   Epoch: 0   Global Step: 600   Required: 23 hours
Training: 2021-04-08 19:31:59,646-Speed 1865.90 samples/sec   Loss 44.8924   Epoch: 0   Global Step: 650   Required: 23 hours
Training: 2021-04-08 19:32:13,405-Speed 1860.69 samples/sec   Loss 44.5733   Epoch: 0   Global Step: 700   Required: 23 hours
Training: 2021-04-08 19:32:27,160-Speed 1861.25 samples/sec   Loss 44.3121   Epoch: 0   Global Step: 750   Required: 23 hours
Training: 2021-04-08 19:32:41,098-Speed 1836.79 samples/sec   Loss 44.0504   Epoch: 0   Global Step: 800   Required: 23 hours
Training: 2021-04-08 19:32:54,839-Speed 1863.00 samples/sec   Loss 43.8382   Epoch: 0   Global Step: 850   Required: 23 hours
Training: 2021-04-08 19:33:08,581-Speed 1863.09 samples/sec   Loss 43.5485   Epoch: 0   Global Step: 900   Required: 23 hours
Training: 2021-04-08 19:33:22,310-Speed 1864.75 samples/sec   Loss 43.2460   Epoch: 0   Global Step: 950   Required: 23 hours
Training: 2021-04-08 19:33:36,038-Speed 1864.87 samples/sec   Loss 42.9770   Epoch: 0   Global Step: 1000   Required: 23 hours
Training: 2021-04-08 19:33:50,046-Speed 1827.60 samples/sec   Loss 42.7072   Epoch: 0   Global Step: 1050   Required: 23 hours
Training: 2021-04-08 19:34:04,064-Speed 1826.21 samples/sec   Loss 42.3560   Epoch: 0   Global Step: 1100   Required: 23 hours
Training: 2021-04-08 19:34:17,839-Speed 1858.48 samples/sec   Loss 42.0736   Epoch: 0   Global Step: 1150   Required: 23 hours
Training: 2021-04-08 19:34:31,677-Speed 1850.07 samples/sec   Loss 41.7803   Epoch: 0   Global Step: 1200   Required: 23 hours
Training: 2021-04-08 19:34:45,439-Speed 1860.30 samples/sec   Loss 41.4029   Epoch: 0   Global Step: 1250   Required: 23 hours
Training: 2021-04-08 19:34:59,184-Speed 1862.67 samples/sec   Loss 41.2403   Epoch: 0   Global Step: 1300   Required: 23 hours
Training: 2021-04-08 19:35:12,940-Speed 1861.03 samples/sec   Loss 40.8120   Epoch: 0   Global Step: 1350   Required: 23 hours
